"descripcion","fecha","cuenta"
FALTA COTIZ. SALUD,2023-09-18,1
RENTA = TOPE,2023-09-15,8
COTIZ < LIQ DE SUELDO,2023-09-15,71
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-15,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-15,1
NO PROCESADO MEDIPASS,2023-09-15,134
NO IMAGENES CON API,2023-09-15,8
FALTA COTIZ. SALUD,2023-09-15,37
NO HAY IMAGENES PARA DESCARGAR,2023-09-15,7
NO HAY IMAGENES PARA DESCARGAR,2023-09-14,9
NO IMAGENES CON API,2023-09-14,4
RENTA = TOPE,2023-09-14,11
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-14,2
NO PROCESADO MEDIPASS,2023-09-14,171
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-14,1
COTIZ < LIQ DE SUELDO,2023-09-14,76
FALTA COTIZ. SALUD,2023-09-14,42
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-13,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-13,2
NO HAY IMAGENES PARA DESCARGAR,2023-09-13,11
NO IMAGENES CON API,2023-09-13,12
FALTA COTIZ. SALUD,2023-09-13,43
COTIZ < LIQ DE SUELDO,2023-09-13,72
RENTA = TOPE,2023-09-13,12
NO PROCESADO MEDIPASS,2023-09-13,150
NO SE ENCUENTRA CODIGO AFP,2023-09-12,1
NO PROCESADO MEDIPASS,2023-09-12,158
NO HAY IMAGENES PARA DESCARGAR,2023-09-12,8
RENTA = TOPE,2023-09-12,14
COTIZ < LIQ DE SUELDO,2023-09-12,64
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-12,1
FALTA COTIZ. SALUD,2023-09-12,51
NO PROCESADO MEDIPASS,2023-09-11,196
NO IMAGENES CON API,2023-09-11,1
RENTA = TOPE,2023-09-11,12
COTIZ < LIQ DE SUELDO,2023-09-11,77
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-11,1
FALTA COTIZ. SALUD,2023-09-11,66
NO HAY IMAGENES PARA DESCARGAR,2023-09-11,7
NO HAY IMAGENES PARA DESCARGAR,2023-09-08,9
NO IMAGENES CON API,2023-09-08,1
NO PROCESADO MEDIPASS,2023-09-08,153
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-08,1
COTIZ < LIQ DE SUELDO,2023-09-08,66
FALTA COTIZ. SALUD,2023-09-08,56
RENTA = TOPE,2023-09-08,19
NO IMAGENES CON API,2023-09-07,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-07,1
RENTA = TOPE,2023-09-07,11
NO PROCESADO MEDIPASS,2023-09-07,165
COTIZ < LIQ DE SUELDO,2023-09-07,88
NO HAY IMAGENES PARA DESCARGAR,2023-09-07,17
FALTA COTIZ. SALUD,2023-09-07,77
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-06,2
NO HAY IMAGENES PARA DESCARGAR,2023-09-06,10
RENTA = TOPE,2023-09-06,15
COTIZ < LIQ DE SUELDO,2023-09-06,85
NO PROCESADO MEDIPASS,2023-09-06,138
NO SE ENCUENTRA CODIGO AFP,2023-09-06,1
FALTA COTIZ. SALUD,2023-09-06,59
COTIZ < LIQ DE SUELDO,2023-09-05,88
FALTA COTIZ. SALUD,2023-09-05,42
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-05,2
NO HAY IMAGENES PARA DESCARGAR,2023-09-05,9
RENTA = TOPE,2023-09-05,8
NO PROCESADO MEDIPASS,2023-09-05,187
NO PROCESADO MEDIPASS,2023-09-04,147
RENTA = TOPE,2023-09-04,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-04,2
NO IMAGENES CON API,2023-09-04,50
COTIZ < LIQ DE SUELDO,2023-09-04,98
NO HAY IMAGENES PARA DESCARGAR,2023-09-04,5
FALTA COTIZ. SALUD,2023-09-04,31
NO DERECHO A PAGO SUBSIDIO,2023-09-04,1
NO IMAGENES CON API,2023-09-01,57
NO HAY IMAGENES PARA DESCARGAR,2023-09-01,7
FALTA COTIZ. SALUD,2023-09-01,20
NO PROCESADO MEDIPASS,2023-09-01,163
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-01,1
COTIZ < LIQ DE SUELDO,2023-09-01,125
RENTA = TOPE,2023-09-01,9
FALTA COTIZ. SALUD,2023-08-31,10
RENTA = TOPE,2023-08-31,3
NO HAY IMAGENES PARA DESCARGAR,2023-08-31,10
NO PROCESADO MEDIPASS,2023-08-31,94
COTIZ < LIQ DE SUELDO,2023-08-31,30
FALTA COTIZ. SALUD,2023-08-30,23
RENTA = TOPE,2023-08-30,12
NO IMAGENES CON API,2023-08-30,2
NO HAY IMAGENES PARA DESCARGAR,2023-08-30,16
COTIZ < LIQ DE SUELDO,2023-08-30,88
NO PROCESADO MEDIPASS,2023-08-30,156
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-30,1
NO DERECHO A PAGO SUBSIDIO,2023-08-30,1
NO SE ENCUENTRA CODIGO AFP,2023-08-30,1
NO HAY IMAGENES PARA DESCARGAR,2023-08-29,25
RENTA = TOPE,2023-08-29,5
COTIZ < LIQ DE SUELDO,2023-08-29,88
NO PROCESADO MEDIPASS,2023-08-29,148
FALTA COTIZ. SALUD,2023-08-29,21
NO IMAGENES CON API,2023-08-29,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-29,1
COTIZ < LIQ DE SUELDO,2023-08-28,88
RENTA = TOPE,2023-08-28,9
NO IMAGENES CON API,2023-08-28,8
NO PROCESADO MEDIPASS,2023-08-28,159
FALTA COTIZ. SALUD,2023-08-28,29
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-28,3
NO HAY IMAGENES PARA DESCARGAR,2023-08-28,14
NO PROCESADO MEDIPASS,2023-08-26,3
NO IMAGENES CON API,2023-08-25,2
RENTA = TOPE,2023-08-25,9
NO PROCESADO MEDIPASS,2023-08-25,95
FALTA COTIZ. SALUD,2023-08-25,15
COTIZ < LIQ DE SUELDO,2023-08-25,75
NO HAY IMAGENES PARA DESCARGAR,2023-08-25,9
FALTA COTIZ. SALUD,2023-08-24,19
NO IMAGENES CON API,2023-08-24,1
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-08-24,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-24,2
COTIZ < LIQ DE SUELDO,2023-08-24,110
RENTA = TOPE,2023-08-24,6
NO PROCESADO MEDIPASS,2023-08-24,168
NO HAY IMAGENES PARA DESCARGAR,2023-08-24,13
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-23,1
NO IMAGENES CON API,2023-08-23,3
COTIZ < LIQ DE SUELDO,2023-08-23,76
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-08-23,1
NO PROCESADO MEDIPASS,2023-08-23,116
NO SE ENCUENTRA CODIGO AFP,2023-08-23,1
FALTA COTIZ. SALUD,2023-08-23,25
RENTA = TOPE,2023-08-23,3
NO HAY IMAGENES PARA DESCARGAR,2023-08-23,8
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-22,2
RENTA = TOPE,2023-08-22,9
NO IMAGENES CON API,2023-08-22,2
FALTA COTIZ. SALUD,2023-08-22,30
COTIZ < LIQ DE SUELDO,2023-08-22,76
NO HAY IMAGENES PARA DESCARGAR,2023-08-22,10
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-08-22,1
NO PROCESADO MEDIPASS,2023-08-22,168
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-21,3
RENTA = TOPE,2023-08-21,14
NO PROCESADO MEDIPASS,2023-08-21,154
FALTA COTIZ. SALUD,2023-08-21,15
COTIZ < LIQ DE SUELDO,2023-08-21,88
NO HAY IMAGENES PARA DESCARGAR,2023-08-21,29
NO IMAGENES CON API,2023-08-21,24
NO PROCESADO MEDIPASS,2023-08-20,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-18,1
NO SE ENCUENTRA CODIGO AFP,2023-08-18,1
NO HAY IMAGENES PARA DESCARGAR,2023-08-18,7
NO IMAGENES CON API,2023-08-18,2
COTIZ < LIQ DE SUELDO,2023-08-18,63
NO PROCESADO MEDIPASS,2023-08-18,137
FALTA COTIZ. SALUD,2023-08-18,22
RENTA = TOPE,2023-08-18,12
FALTA COTIZ. SALUD,2023-08-17,31
NO SE ENCUENTRA CODIGO AFP,2023-08-17,1
COTIZ < LIQ DE SUELDO,2023-08-17,93
NO HAY IMAGENES PARA DESCARGAR,2023-08-17,17
NO PROCESADO MEDIPASS,2023-08-17,167
RENTA = TOPE,2023-08-17,7
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-17,2
NO PROCESADO MEDIPASS,2023-08-16,155
FALTA COTIZ. SALUD,2023-08-16,34
NO HAY IMAGENES PARA DESCARGAR,2023-08-16,6
COTIZ < LIQ DE SUELDO,2023-08-16,66
RENTA = TOPE,2023-08-16,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-16,1
NO PROCESADO MEDIPASS,2023-08-15,7
RENTA = TOPE,2023-08-15,1
FALTA COTIZ. SALUD,2023-08-15,1
NO PROCESADO MEDIPASS,2023-08-14,114
FALTA COTIZ. SALUD,2023-08-14,31
COTIZ < LIQ DE SUELDO,2023-08-14,60
RENTA = TOPE,2023-08-14,2
NO HAY IMAGENES PARA DESCARGAR,2023-08-14,21
COTIZ < LIQ DE SUELDO,2023-08-13,1
NO PROCESADO MEDIPASS,2023-08-13,2
NO PROCESADO MEDIPASS,2023-08-12,1
FALTA COTIZ. SALUD,2023-08-11,60
NO PROCESADO MEDIPASS,2023-08-11,133
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-11,3
COTIZ < LIQ DE SUELDO,2023-08-11,80
NO HAY IMAGENES PARA DESCARGAR,2023-08-11,8
RENTA = TOPE,2023-08-11,5
FALTA COTIZ. SALUD,2023-08-10,77
RENTA = TOPE,2023-08-10,10
NO IMAGENES CON API,2023-08-10,2
NO HAY IMAGENES PARA DESCARGAR,2023-08-10,54
NO PROCESADO MEDIPASS,2023-08-10,171
COTIZ < LIQ DE SUELDO,2023-08-10,106
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-10,1
RENTA = TOPE,2023-08-09,13
NO PROCESADO MEDIPASS,2023-08-09,148
COTIZ < LIQ DE SUELDO,2023-08-09,92
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-09,1
NO HAY IMAGENES PARA DESCARGAR,2023-08-09,12
NO IMAGENES CON API,2023-08-09,4
FALTA COTIZ. SALUD,2023-08-09,76
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-08,3
RENTA = TOPE,2023-08-08,7
FALTA COTIZ. SALUD,2023-08-08,87
NO HAY IMAGENES PARA DESCARGAR,2023-08-08,8
COTIZ < LIQ DE SUELDO,2023-08-08,80
NO IMAGENES CON API,2023-08-08,6
NO PROCESADO MEDIPASS,2023-08-08,181
NO IMAGENES CON API,2023-08-07,17
COTIZ < LIQ DE SUELDO,2023-08-07,94
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-07,4
RENTA = TOPE,2023-08-07,2
NO HAY IMAGENES PARA DESCARGAR,2023-08-07,10
FALTA COTIZ. SALUD,2023-08-07,79
NO PROCESADO MEDIPASS,2023-08-07,161
FALTA COTIZ. SALUD,2023-08-06,2
NO PROCESADO MEDIPASS,2023-08-06,5
COTIZ < LIQ DE SUELDO,2023-08-06,3
NO HAY IMAGENES PARA DESCARGAR,2023-08-04,5
NO PROCESADO MEDIPASS,2023-08-04,136
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-04,2
FALTA COTIZ. SALUD,2023-08-04,55
RENTA = TOPE,2023-08-04,4
NO DERECHO A PAGO SUBSIDIO,2023-08-04,1
COTIZ < LIQ DE SUELDO,2023-08-04,66
NO PROCESADO MEDIPASS,2023-08-03,133
FALTA COTIZ. SALUD,2023-08-03,44
NO IMAGENES CON API,2023-08-03,1
RENTA = TOPE,2023-08-03,7
COTIZ < LIQ DE SUELDO,2023-08-03,80
NO HAY IMAGENES PARA DESCARGAR,2023-08-03,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-03,1
RENTA = TOPE,2023-08-02,12
COTIZ < LIQ DE SUELDO,2023-08-02,81
FALTA COTIZ. SALUD,2023-08-02,30
NO PROCESADO MEDIPASS,2023-08-02,113
NO IMAGENES CON API,2023-08-02,1
NO HAY IMAGENES PARA DESCARGAR,2023-08-02,32
FALTA COTIZ. SALUD,2023-08-01,28
COTIZ < LIQ DE SUELDO,2023-08-01,95
NO IMAGENES CON API,2023-08-01,21
NO HAY IMAGENES PARA DESCARGAR,2023-08-01,9
RENTA = TOPE,2023-08-01,10
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-08-01,1
NO PROCESADO MEDIPASS,2023-08-01,133
NO HAY IMAGENES PARA DESCARGAR,2023-07-31,16
NO IMAGENES CON API,2023-07-31,48
NO PROCESADO MEDIPASS,2023-07-31,121
RENTA = TOPE,2023-07-31,5
COTIZ < LIQ DE SUELDO,2023-07-31,82
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-31,1
FALTA COTIZ. SALUD,2023-07-31,23
FALTA COTIZ. SALUD,2023-07-30,2
COTIZ < LIQ DE SUELDO,2023-07-30,2
NO PROCESADO MEDIPASS,2023-07-30,5
NO PROCESADO MEDIPASS,2023-07-29,3
NO IMAGENES CON API,2023-07-29,2
COTIZ < LIQ DE SUELDO,2023-07-29,1
NO HAY IMAGENES PARA DESCARGAR,2023-07-28,5
NO PROCESADO MEDIPASS,2023-07-28,125
RENTA = TOPE,2023-07-28,6
COTIZ < LIQ DE SUELDO,2023-07-28,77
NO IMAGENES CON API,2023-07-28,2
FALTA COTIZ. SALUD,2023-07-28,25
FALTA COTIZ. SALUD,2023-07-27,29
RENTA = TOPE,2023-07-27,5
NO HAY IMAGENES PARA DESCARGAR,2023-07-27,12
COTIZ < LIQ DE SUELDO,2023-07-27,101
NO PROCESADO MEDIPASS,2023-07-27,161
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-27,2
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-26,3
COTIZ < LIQ DE SUELDO,2023-07-26,102
RENTA = TOPE,2023-07-26,7
FALTA COTIZ. SALUD,2023-07-26,16
NO IMAGENES CON API,2023-07-26,3
NO PROCESADO MEDIPASS,2023-07-26,151
NO HAY IMAGENES PARA DESCARGAR,2023-07-26,11
NO IMAGENES CON API,2023-07-25,2
COTIZ < LIQ DE SUELDO,2023-07-25,81
NO PROCESADO MEDIPASS,2023-07-25,144
FALTA COTIZ. SALUD,2023-07-25,12
NO HAY IMAGENES PARA DESCARGAR,2023-07-25,11
NO PROCESADO MEDIPASS,2023-07-24,157
COTIZ < LIQ DE SUELDO,2023-07-24,93
RENTA = TOPE,2023-07-24,5
FALTA COTIZ. SALUD,2023-07-24,20
NO HAY IMAGENES PARA DESCARGAR,2023-07-24,8
NO IMAGENES CON API,2023-07-24,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-24,1
NO IMAGENES CON API,2023-07-22,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-21,1
RENTA = TOPE,2023-07-21,8
FALTA COTIZ. SALUD,2023-07-21,20
COTIZ < LIQ DE SUELDO,2023-07-21,89
NO PROCESADO MEDIPASS,2023-07-21,45
NO HAY IMAGENES PARA DESCARGAR,2023-07-21,8
COTIZ < LIQ DE SUELDO,2023-07-20,65
NO PROCESADO MEDIPASS,2023-07-20,1
RENTA = TOPE,2023-07-20,5
NO HAY IMAGENES PARA DESCARGAR,2023-07-20,168
FALTA COTIZ. SALUD,2023-07-20,15
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-20,1
RENTA = TOPE,2023-07-19,4
FALTA COTIZ. SALUD,2023-07-19,12
NO HAY IMAGENES PARA DESCARGAR,2023-07-19,89
COTIZ < LIQ DE SUELDO,2023-07-19,90
COTIZ < LIQ DE SUELDO,2023-07-18,54
NO HAY IMAGENES PARA DESCARGAR,2023-07-18,185
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-18,2
RENTA = TOPE,2023-07-18,8
FALTA COTIZ. SALUD,2023-07-18,14
NO DERECHO A PAGO SUBSIDIO,2023-07-18,1
FALTA COTIZ. SALUD,2023-07-17,8
RENTA = TOPE,2023-07-17,4
COTIZ < LIQ DE SUELDO,2023-07-17,32
NO HAY IMAGENES PARA DESCARGAR,2023-07-17,183
COTIZ < LIQ DE SUELDO,2023-07-16,2
NO HAY IMAGENES PARA DESCARGAR,2023-07-16,1
COTIZ < LIQ DE SUELDO,2023-07-14,42
RENTA = TOPE,2023-07-14,1
NO HAY IMAGENES PARA DESCARGAR,2023-07-14,118
FALTA COTIZ. SALUD,2023-07-14,14
COTIZ < LIQ DE SUELDO,2023-07-13,35
FALTA COTIZ. SALUD,2023-07-13,22
NO HAY IMAGENES PARA DESCARGAR,2023-07-13,272
COTIZ < LIQ DE SUELDO,2023-07-12,33
NO HAY IMAGENES PARA DESCARGAR,2023-07-12,190
FALTA COTIZ. SALUD,2023-07-12,42
RENTA = TOPE,2023-07-12,7
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-12,1
COTIZ < LIQ DE SUELDO,2023-07-11,32
NO HAY IMAGENES PARA DESCARGAR,2023-07-11,10
RENTA = TOPE,2023-07-11,17
FALTA COTIZ. SALUD,2023-07-11,179
NO DERECHO A PAGO SUBSIDIO,2023-07-11,1
RENTA = TOPE,2023-07-10,8
COTIZ < LIQ DE SUELDO,2023-07-10,28
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-10,3
NO DERECHO A PAGO SUBSIDIO,2023-07-10,1
NO HAY IMAGENES PARA DESCARGAR,2023-07-10,8
FALTA COTIZ. SALUD,2023-07-10,143
FALTA COTIZ. SALUD,2023-07-09,2
RENTA = TOPE,2023-07-07,5
COTIZ < LIQ DE SUELDO,2023-07-07,33
NO HAY IMAGENES PARA DESCARGAR,2023-07-07,8
FALTA COTIZ. SALUD,2023-07-07,132
FALTA COTIZ. SALUD,2023-07-06,155
COTIZ < LIQ DE SUELDO,2023-07-06,40
RENTA = TOPE,2023-07-06,8
NO HAY IMAGENES PARA DESCARGAR,2023-07-06,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-06,5
FALTA COTIZ. SALUD,2023-07-05,116
NO HAY IMAGENES PARA DESCARGAR,2023-07-05,6
COTIZ < LIQ DE SUELDO,2023-07-05,42
RENTA = TOPE,2023-07-05,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-05,2
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-04,2
COTIZ < LIQ DE SUELDO,2023-07-04,38
NO HAY IMAGENES PARA DESCARGAR,2023-07-04,10
FALTA COTIZ. SALUD,2023-07-04,67
RENTA = TOPE,2023-07-04,11
RENTA = TOPE,2023-07-03,15
FALTA COTIZ. SALUD,2023-07-03,29
NO HAY IMAGENES PARA DESCARGAR,2023-07-03,10
COTIZ < LIQ DE SUELDO,2023-07-03,57
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-07-03,1
FALTA COTIZ. SALUD,2023-06-30,13
RENTA = TOPE,2023-06-30,3
NO HAY IMAGENES PARA DESCARGAR,2023-06-30,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-30,1
COTIZ < LIQ DE SUELDO,2023-06-30,39
COTIZ < LIQ DE SUELDO,2023-06-29,48
NO HAY IMAGENES PARA DESCARGAR,2023-06-29,10
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-29,3
RENTA = TOPE,2023-06-29,10
FALTA COTIZ. SALUD,2023-06-29,22
NO HAY IMAGENES PARA DESCARGAR,2023-06-28,13
FALTA COTIZ. SALUD,2023-06-28,16
COTIZ < LIQ DE SUELDO,2023-06-28,55
RENTA = TOPE,2023-06-28,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-28,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-27,4
RENTA = TOPE,2023-06-27,3
NO HAY IMAGENES PARA DESCARGAR,2023-06-27,10
FALTA COTIZ. SALUD,2023-06-27,22
COTIZ < LIQ DE SUELDO,2023-06-27,58
COTIZ < LIQ DE SUELDO,2023-06-26,1
FALTA COTIZ. SALUD,2023-06-23,24
RENTA = TOPE,2023-06-23,11
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-23,5
COTIZ < LIQ DE SUELDO,2023-06-23,44
NO HAY IMAGENES PARA DESCARGAR,2023-06-23,10
NO DERECHO A PAGO SUBSIDIO,2023-06-23,1
RENTA = TOPE,2023-06-22,6
COTIZ < LIQ DE SUELDO,2023-06-22,48
FALTA COTIZ. SALUD,2023-06-22,14
NO HAY IMAGENES PARA DESCARGAR,2023-06-22,36
COTIZ < LIQ DE SUELDO,2023-06-21,1
FALTA COTIZ. SALUD,2023-06-20,22
NO HAY IMAGENES PARA DESCARGAR,2023-06-20,5
COTIZ < LIQ DE SUELDO,2023-06-20,68
RENTA = TOPE,2023-06-20,16
RENTA = TOPE,2023-06-19,4
COTIZ < LIQ DE SUELDO,2023-06-19,51
FALTA COTIZ. SALUD,2023-06-19,20
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-19,2
NO HAY IMAGENES PARA DESCARGAR,2023-06-19,11
RENTA = TOPE,2023-06-16,11
NO HAY IMAGENES PARA DESCARGAR,2023-06-16,7
NO DERECHO A PAGO SUBSIDIO,2023-06-16,1
COTIZ < LIQ DE SUELDO,2023-06-16,43
FALTA COTIZ. SALUD,2023-06-16,27
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-16,2
FALTA COTIZ. SALUD,2023-06-15,45
RENTA = TOPE,2023-06-15,14
NO HAY IMAGENES PARA DESCARGAR,2023-06-15,11
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-15,4
COTIZ < LIQ DE SUELDO,2023-06-15,58
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-14,1
COTIZ < LIQ DE SUELDO,2023-06-14,47
RENTA = TOPE,2023-06-14,12
NO HAY IMAGENES PARA DESCARGAR,2023-06-14,13
FALTA COTIZ. SALUD,2023-06-14,72
FALTA COTIZ. SALUD,2023-06-13,159
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-13,2
COTIZ < LIQ DE SUELDO,2023-06-13,57
RENTA = TOPE,2023-06-13,6
NO HAY IMAGENES PARA DESCARGAR,2023-06-13,9
FALTA COTIZ. SALUD,2023-06-12,193
NO HAY IMAGENES PARA DESCARGAR,2023-06-12,16
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-12,2
RENTA = TOPE,2023-06-12,18
COTIZ < LIQ DE SUELDO,2023-06-12,49
NO HAY IMAGENES PARA DESCARGAR,2023-06-09,23
FALTA COTIZ. SALUD,2023-06-09,222
RENTA = TOPE,2023-06-09,18
COTIZ < LIQ DE SUELDO,2023-06-09,41
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-09,4
FALTA COTIZ. SALUD,2023-06-08,219
COTIZ < LIQ DE SUELDO,2023-06-08,70
RENTA = TOPE,2023-06-08,15
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-08,2
NO HAY IMAGENES PARA DESCARGAR,2023-06-08,9
NO HAY IMAGENES PARA DESCARGAR,2023-06-07,8
COTIZ < LIQ DE SUELDO,2023-06-07,48
FALTA COTIZ. SALUD,2023-06-07,210
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-07,2
RENTA = TOPE,2023-06-07,16
NO HAY IMAGENES PARA DESCARGAR,2023-06-06,11
COTIZ < LIQ DE SUELDO,2023-06-06,28
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-06,2
RENTA = TOPE,2023-06-06,26
FALTA COTIZ. SALUD,2023-06-06,138
FALTA COTIZ. SALUD,2023-06-05,90
NO PROCESADO MEDIPASS,2023-06-05,144
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-05,3
NO HAY IMAGENES PARA DESCARGAR,2023-06-05,8
NO IMAGENES CON API,2023-06-05,38
COTIZ < LIQ DE SUELDO,2023-06-05,23
RENTA = TOPE,2023-06-05,26
FALTA COTIZ. SALUD,2023-06-02,73
NO PROCESADO MEDIPASS,2023-06-02,17
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-02,2
NO HAY IMAGENES PARA DESCARGAR,2023-06-02,7
RENTA = TOPE,2023-06-02,24
COTIZ < LIQ DE SUELDO,2023-06-02,26
COTIZ < LIQ DE SUELDO,2023-06-01,60
FALTA COTIZ. SALUD,2023-06-01,43
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-06-01,2
RENTA = TOPE,2023-06-01,44
NO HAY IMAGENES PARA DESCARGAR,2023-06-01,5
RENTA = TOPE,2023-05-31,8
NO HAY IMAGENES PARA DESCARGAR,2023-05-31,3
FALTA COTIZ. SALUD,2023-05-31,7
COTIZ < LIQ DE SUELDO,2023-05-31,12
NO HAY IMAGENES PARA DESCARGAR,2023-05-30,5
COTIZ < LIQ DE SUELDO,2023-05-30,19
RENTA = TOPE,2023-05-30,16
FALTA COTIZ. SALUD,2023-05-30,27
RENTA = TOPE,2023-05-29,30
COTIZ < LIQ DE SUELDO,2023-05-29,31
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-05-29,2
FALTA COTIZ. SALUD,2023-05-29,26
